,Video Title,Video ID,Published Date,Views,Likes,Comments
0,🚨NEWS Channels Are HIDING This From YOU 🫵Ahmedabad FLIGHT ✈️ | Aye Jude ✊,p9Tr42nGJfo,2025-07-18T14:20:29Z,265351,7774,225
1,🚨 Tik Tok back in India? 🤯| Aye Jude ✊,BqZfg2uGNRI,2025-07-18T10:10:42Z,131256,6140,18
2,🚨We Will FINISH YOU🚨NATO & TRUMP’s BIG WARNING To INDIA 🇮🇳 | Aye Jude✊,ScJC-F0oVoA,2025-07-17T14:06:33Z,408555,12950,361
3,🚨Nimisha Priya Punishment POSTPONED? 😳| BIG TWIST | Aye Jude✊,jDrk7FkzyRU,2025-07-16T14:56:55Z,536061,13723,814
4,🚨 Babies looks can be decided 🤯 | Aye Jude ✊,HRMbQTEFHO4,2025-07-16T11:53:41Z,265595,7029,19
5,🚨500% TARIFFS ?🚨America’s BIG SHOCK To India🇮🇳 And China 🇨🇳 | Aye Jude✊,1vPPnZggrkw,2025-07-15T14:14:11Z,538605,14064,361
6,🚨we need Answer!|Aye Jude,p-ztp_irztQ,2025-07-15T06:37:32Z,594938,18195,37
7,🚨World in 3025 🌍🗺️ | Future EXPLAINED | Aye Jude✊,Gw2woCgwNKw,2025-07-14T13:12:18Z,403730,11838,722
8,🙏Lord Krishna's heart found ? | Aye Jude ✊,k0Fvb4yuk38,2025-07-14T11:32:03Z,732676,38965,88
9,💙Krishna’s Heart FOUND? 🦚 | Puri Jagannath Mystery | Aye Jude✊,oXDv0DHfcA0,2025-07-13T12:43:08Z,676854,26183,1981
10,🚨Can AI replace Humans🤯 ?! Aye Jude,qyNYB9ijL6c,2025-07-13T04:08:42Z,285053,12419,39
11,🚨AIR INDIA Black Box DECODED✈️Main Reason FOUND! | Aye Jude✊,MSRY9LQemSM,2025-07-12T13:01:10Z,1273136,34130,884
12,🚨who killed her ?!Aye jude,Y06i8yD0DDY,2025-07-11T12:50:38Z,3457586,101447,212
13,🚨We Are Not SAFE?⚠️ | All JOBS Gone By 2030 | Aye Jude✊,nTep72W5Qt4,2025-07-11T10:57:21Z,479700,12997,593
14,🚨Trump is Fooling the world🌏 !|Aye Jude,a5DThdA-zZ4,2025-07-10T13:52:12Z,208303,11949,25
15,🚨Do Not MARRY People Like HIM💍BEWARE ALL GIRLS | Aye Jude ✊,bWMHnQSHw54,2025-07-10T12:38:56Z,1148725,31275,799
16,🌏₹worlds richest temple🐍| Aye Jude,LskoZav2kXw,2025-07-09T15:06:07Z,1231929,62198,54
17,🚨🇺🇸Will TRUMP Join Israel-Iran WAR? | 5 OUTCOMES | Aye Jude✊,cIJSvWxn4XY,2025-06-21T14:14:35Z,474852,13736,495
18,Anna FAMILY FUNCTION Undi Dammunte *OUTFIT* Cheppu👕👖👟...#shorts,viebdv1Safk,2023-05-04T05:28:07Z,502157,63262,555
19,Choose Your Favorite *OUTFIT* Game | *Outfit1 VS Outfit 2*🤼‍♂️🤜🤛...#shorts,haUmIEp9_us,2022-12-23T06:05:09Z,633866,108609,7127
20,"Trek ⛰️With ""College"" Girl Gang👧🏻👧🏽👧🏻*VLOG* #shorts #vlog",Yr9-tuw6fhM,2022-06-15T12:28:52Z,566732,59101,129
21,5 LIFE RULES THAT MAKE YOU A WINNER (rule 3 everybody misses),q_Jn_4DTcT8,2022-02-02T13:20:38Z,19704,2283,337
22,7 Hacks To IMPROVE Your Style Game  | Mens Fashion Telugu | Aye jude!,THi34_3bioc,2021-04-08T14:00:17Z,21315,1582,132
